triangle_key,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BTC|USDT|VET,1496,1487,1092,794,1340,1494,759,592,629,728,1924,1547
BTC|SC|USDT,1136,1663,1118,1210,1818,1452,862,1401,1022,1147,684,351
BTC|FUN|USDT,3506,569,882,1004,694,393,482,2506,764,500,575,1223
BTC|IOST|USDT,888,940,974,1104,1509,1252,1239,971,863,846,1200,911
BTC|COS|USDT,564,915,1374,1384,1074,1006,427,806,542,587,542,638
BTC|CELR|USDT,1080,1016,914,790,974,786,864,997,442,273,402,397
BTC|ONE|USDT,673,1038,472,139,268,403,601,1199,833,476,582,531
BTC|IOTX|USDT,342,758,694,999,1153,905,753,424,386,424,165,84
BTC|ETH|HOT,895,756,421,328,816,462,789,536,1059,427,252,185
ANKR|BTC|USDT,661,979,356,79,315,398,922,1053,483,544,567,540
BTC|DGB|USDT,984,503,728,328,138,264,526,430,405,538,887,742
BTC|MITH|USDT,586,607,683,234,237,306,593,488,413,334,258,520
BTC|ETH|SC,395,555,567,677,477,496,386,425,229,334,281,81
BTC|TCT|USDT,242,347,674,725,497,329,300,290,250,331,295,389
ARN|BTC|ETH,222,78,28,888,423,672,448,930,479,222,101,92
BTC|USDT|XVG,136,68,162,103,82,444,511,761,546,566,831,365
BTC|ETH|XVG,481,533,547,277,363,366,259,358,237,249,539,279
BTC|USDT|ZIL,372,480,610,137,394,64,146,260,190,469,610,462
BTC|GTO|USDT,318,580,760,274,328,213,274,254,229,256,230,324
DENT|ETH|USDT,374,696,385,138,238,301,414,324,201,221,298,311
BTC|ETH|VET,479,468,399,167,374,456,238,141,95,166,462,368
BTC|TRX|USDT,540,574,945,358,89,62,135,154,128,156,138,383
BTC|DOGE|USDT,612,166,213,97,30,23,1035,347,146,148,386,369
BTC|TFUEL|USDT,396,349,36,27,187,566,411,485,254,217,154,441
BTC|HOT|USDT,160,250,353,234,760,440,723,183,82,121,98,107
BTC|ETH|FUN,688,148,187,182,245,149,154,531,258,173,224,532
BTC|BUSD|XVG,65,17,52,332,393,488,324,481,353,252,485,133
BTC|CHZ|USDT,663,837,109,58,135,93,25,124,194,164,179,437
BNB|BTC|COS,223,225,336,239,323,238,185,303,159,221,152,343
BTC|ETH|TRX,446,355,686,142,154,112,111,69,43,90,267,355
BTC|DREP|USDT,98,557,694,23,215,349,158,185,56,83,34,107
BTC|BTS|USDT,155,234,309,49,53,85,183,232,359,257,456,172
ARPA|BTC|USDT,491,602,224,88,180,205,139,150,35,56,147,208
BTC|DOCK|USDT,410,335,193,143,210,136,163,103,165,235,193,220
BNB|BTC|VET,236,178,289,205,255,317,186,187,122,101,217,188
BTC|RVN|USDT,487,319,135,93,250,139,300,86,35,139,203,194
BTC|ETH|IOTX,155,297,338,207,422,305,186,131,79,79,74,71
BNB|BTC|SC,212,256,285,247,249,351,232,140,51,119,110,27
BNB|BTC|ETH,0,0,0,0,0,0,0,564,871,440,277,103
BTC|MDT|USDT,101,133,293,260,225,204,162,214,163,189,166,56
BTC|BUSD|IOST,71,53,122,226,343,186,316,227,118,178,181,98
BTC|BUSD|TRX,286,421,641,340,53,8,55,37,6,94,54,117
BTC|ETH|QSP,412,102,93,151,200,111,140,124,56,80,219,424
BTC|BUSD|VET,427,386,304,129,172,126,81,49,57,58,114,181
BTC|MATIC|USDT,396,64,25,74,199,15,115,187,121,165,320,299
BTC|ETH|MCO,69,13,28,21,13,12,5,468,305,390,481,94
BTC|CDT|ETH,275,221,225,181,149,153,106,90,104,72,99,151
BNB|BTC|CELR,209,357,145,65,96,135,168,253,83,77,77,136
BTC|JST|USDT,228,269,307,56,81,136,200,101,33,116,151,114
BTC|ETH|IOST,183,83,114,145,202,161,204,139,119,121,155,121
BNB|BTC|TRX,230,224,550,90,52,30,84,46,32,50,58,181
BNB|BTC|ONE,137,213,221,41,86,83,120,155,142,126,123,158
BTC|BUSD|DGB,94,39,133,109,45,132,138,165,108,130,324,160
BTC|ETH|QKC,102,165,216,142,131,149,115,93,125,127,94,84
BTC|ETH|WTC,118,20,24,10,12,3,8,191,449,316,217,158
BTC|ETH|NULS,345,87,176,89,63,143,124,39,51,34,255,117
ETH|NPXS|USDT,317,592,120,11,42,18,136,98,28,65,38,44
BTC|FTM|USDT,311,79,77,106,155,57,60,48,27,35,212,264
BTC|PERL|USDT,167,131,145,123,137,57,119,121,109,104,83,109
BNB|BTC|MITH,175,191,274,64,74,142,46,37,33,48,82,230
BTC|ETH|OST,328,128,177,119,90,52,25,48,34,35,48,216
BTC|ETH|ZIL,83,111,126,78,135,16,40,128,66,141,167,144
BTC|USDT|VITE,187,254,183,71,70,50,97,48,57,64,53,92
BTC|BUSD|ONE,89,350,173,0,14,110,163,86,90,46,51,25
BTC|ETH|WABI,280,45,38,49,20,12,14,32,303,118,114,156
BTC|ETH|STORM,24,43,110,56,258,281,65,58,43,58,91,49
ANKR|BNB|BTC,133,198,82,13,58,70,93,210,65,68,66,79
BTC|ETH|VIB,248,111,82,99,75,51,56,66,68,50,114,108
BTC|STPT|USDT,86,299,105,121,106,88,122,66,54,17,18,37
