triangle_key,2017,2018,2019,2020,2021,2022
BTC|USDT|VET,0,410,4700,6267,1284,1221
BTC|SC|USDT,0,0,0,930,12005,929
BTC|FUN|USDT,0,0,288,2062,10748,0
BTC|IOST|USDT,0,0,1422,3358,4933,2984
BTC|COS|USDT,0,0,57,1429,7248,1125
BTC|CELR|USDT,0,0,1105,2519,3910,1401
BTC|ONE|USDT,0,0,1184,3523,1677,831
BTC|IOTX|USDT,0,0,21,2205,4351,510
BTC|ETH|HOT,0,2048,3963,853,62,0
ANKR|BTC|USDT,0,0,591,4092,1748,466
BTC|DGB|USDT,0,0,0,282,4439,1752
BTC|MITH|USDT,0,0,87,1234,3031,907
BTC|ETH|SC,0,235,646,1120,2849,53
BTC|TCT|USDT,0,0,0,691,2727,1251
ARN|BTC|ETH,150,4123,151,159,0,0
BTC|USDT|XVG,0,0,0,0,3984,591
BTC|ETH|XVG,98,34,433,901,2828,194
BTC|USDT|ZIL,0,0,913,1562,602,1117
BTC|GTO|USDT,0,0,84,642,2663,651
DENT|ETH|USDT,0,0,59,504,2223,1115
BTC|ETH|VET,0,216,1570,1014,702,311
BTC|TRX|USDT,0,0,257,712,1512,1181
BTC|DOGE|USDT,0,0,352,2390,830,0
BTC|TFUEL|USDT,0,0,485,2433,594,11
BTC|HOT|USDT,0,0,2252,1116,143,0
BTC|ETH|FUN,210,170,571,920,1600,0
BTC|BUSD|XVG,0,0,0,0,3174,201
BTC|CHZ|USDT,0,0,351,1366,1301,0
BNB|BTC|COS,0,0,26,241,2188,492
BTC|ETH|TRX,180,0,94,827,1382,347
BTC|DREP|USDT,0,0,0,1463,1091,5
BTC|BTS|USDT,0,0,0,141,1836,567
ARPA|BTC|USDT,0,0,32,674,1662,157
BTC|DOCK|USDT,0,0,235,710,948,613
BNB|BTC|VET,0,305,1312,371,253,240
BTC|RVN|USDT,0,0,15,466,961,938
BTC|ETH|IOTX,0,62,223,921,1117,21
BNB|BTC|SC,0,80,373,704,1122,0
BNB|BTC|ETH,2255,0,0,0,0,0
BTC|MDT|USDT,0,0,0,230,1394,542
BTC|BUSD|IOST,0,0,0,0,1617,502
BTC|BUSD|TRX,0,0,33,202,887,990
BTC|ETH|QSP,237,318,57,932,533,35
BTC|BUSD|VET,0,0,12,342,822,908
BTC|MATIC|USDT,0,0,679,867,434,0
BTC|ETH|MCO,1709,141,36,13,0,0
BTC|CDT|ETH,119,287,72,584,764,0
BNB|BTC|CELR,0,0,535,737,506,23
BTC|JST|USDT,0,0,0,106,782,904
BTC|ETH|IOST,0,64,339,350,859,135
BNB|BTC|TRX,0,6,53,331,941,296
BNB|BTC|ONE,0,0,494,719,338,54
BTC|BUSD|DGB,0,0,0,46,1092,439
BTC|ETH|QKC,0,47,146,463,694,193
BTC|ETH|WTC,1290,182,28,15,11,0
BTC|ETH|NULS,212,643,284,384,0,0
ETH|NPXS|USDT,0,0,65,489,955,0
BTC|FTM|USDT,0,0,94,1054,283,0
BTC|PERL|USDT,0,0,9,187,475,734
BNB|BTC|MITH,0,26,108,505,693,64
BTC|ETH|OST,151,397,66,204,482,0
BTC|ETH|ZIL,0,16,585,539,63,32
