triangle_key,frequency
1INCH|BTC|BUSD,3
1INCH|BUSD|USDT,4
AAVE|BNB|BTC,7
AAVE|BNB|BUSD,4
AAVE|BNB|ETH,7
AAVE|BNB|USDT,10
AAVE|BTC|BUSD,1
AAVE|BTC|ETH,5
AAVE|BUSD|ETH,2
AAVE|ETH|USDT,4
ADA|AUD|BTC,3
ADA|AUD|BUSD,2
ADA|AUD|USDT,2
ADA|BNB|BRL,1
ADA|BNB|BTC,23
ADA|BNB|BUSD,4
ADA|BNB|ETH,16
ADA|BNB|TRY,1
ADA|BNB|TUSD,25
ADA|BNB|USDC,13
ADA|BNB|USDT,32
ADA|BRL|BTC,2
ADA|BRL|BUSD,3
ADA|BRL|ETH,2
ADA|BRL|USDT,3
ADA|BTC|ETH,122
ADA|BTC|EUR,1
ADA|BTC|GBP,3
ADA|BTC|TRY,2
ADA|BTC|TUSD,75
ADA|BTC|USDC,28
ADA|BUSD|ETH,1
ADA|BUSD|EUR,1
ADA|BUSD|GBP,3
ADA|BUSD|TRY,3
ADA|BUSD|USDC,1
ADA|BUSD|USDT,1
ADA|ETH|GBP,3
ADA|ETH|TUSD,49
ADA|ETH|USDC,20
ADA|EUR|USDT,1
ADA|GBP|USDT,3
ADA|TRY|USDT,3
ADA|TUSD|USDT,120
ADA|USDC|USDT,40
ADX|BTC|ETH,445
AE|BTC|ETH,100
AION|BNB|BTC,550
AION|BNB|ETH,284
AION|BNB|USDT,14
AION|BTC|ETH,845
AION|BTC|USDT,137
AION|ETH|USDT,559
ALGO|BNB|BTC,8
ALGO|BNB|BUSD,5
ALGO|BNB|USDT,3
ALGO|BTC|BUSD,3
ALGO|BTC|USDT,8
ALGO|BUSD|USDT,4
ALICE|BTC|BUSD,2
ALICE|BUSD|USDT,3
ALPHA|BTC|BUSD,49
ALPHA|BTC|USDT,7
ALPHA|BUSD|USDT,78
AMB|BTC|ETH,573
ANKR|BNB|BTC,1135
ANKR|BNB|USDT,151
ANKR|BTC|USDT,6897
ANT|BTC|BUSD,13
ANT|BTC|USDT,7
ANT|BUSD|USDT,13
ARDR|BTC|USDT,88
ARK|BTC|ETH,560
ARN|BTC|ETH,4583
ARPA|BNB|BTC,252
ARPA|BNB|TRY,2
ARPA|BNB|USDT,12
ARPA|BTC|TRY,238
ARPA|BTC|USDT,2525
ARPA|TRY|USDT,1
AR|BTC|BUSD,15
AR|BTC|USDT,21
AR|BUSD|USDT,31
AST|BTC|ETH,376
ATOM|BNB|BTC,3
ATOM|BNB|BUSD,7
ATOM|BNB|USDC,16
ATOM|BNB|USDT,3
ATOM|BTC|BUSD,2
ATOM|BTC|USDC,82
ATOM|BUSD|USDC,34
ATOM|BUSD|USDT,4
ATOM|USDC|USDT,100
AUDIO|BTC|BUSD,39
AUDIO|BTC|USDT,38
AUDIO|BUSD|USDT,128
AUD|BNB|BTC,5
AUD|BNB|BUSD,3
AUD|BNB|ETH,2
AUD|BNB|USDT,6
AUD|BNB|XRP,6
AUD|BTC|BUSD,1
AUD|BTC|DOGE,5
AUD|BTC|ETH,4
AUD|BTC|USDT,6
AUD|BTC|XRP,4
AUD|BUSD|DOGE,2
AUD|BUSD|ETH,4
AUD|BUSD|USDT,3
AUD|BUSD|XRP,4
