triangle_key,earliest_appearance,latest_appearance,lifetime_minutes,lifetime_hours,lifetime_days,lifetime_weeks,lifetime_months
1INCH|BTC|BUSD,2021-02-23 20:28:00.000000 UTC,2021-04-23 19:19:00.000000 UTC,84891,1414.85,58.952083333333327,8.4217261904761891,1.9650694444444443
1INCH|BUSD|USDT,2021-02-23 20:28:00.000000 UTC,2021-02-24 04:30:00.000000 UTC,482,8.0333333333333332,0.3347222222222222,0.047817460317460314,0.011157407407407406
AAVE|BNB|BTC,2020-10-23 18:54:00.000000 UTC,2021-01-26 12:58:00.000000 UTC,136444,2274.0666666666666,94.75277777777778,13.536111111111111,3.158425925925926
AAVE|BNB|BUSD,2020-10-23 17:01:00.000000 UTC,2021-03-04 08:49:00.000000 UTC,189588,3159.8,131.65833333333333,18.808333333333334,4.3886111111111115
AAVE|BNB|ETH,2020-10-15 06:56:00.000000 UTC,2021-05-27 23:21:00.000000 UTC,323545,5392.416666666667,224.6840277777778,32.09771825396826,7.4894675925925931
AAVE|BNB|USDT,2020-10-15 19:27:00.000000 UTC,2021-03-04 08:49:00.000000 UTC,200962,3349.3666666666668,139.55694444444444,19.93670634920635,4.6518981481481481
AAVE|BTC|BUSD,2020-11-07 22:11:00.000000 UTC,2020-11-07 22:11:00.000000 UTC,0,0.0,0.0,0.0,0.0
AAVE|BTC|ETH,2020-10-15 06:50:00.000000 UTC,2020-11-10 14:39:00.000000 UTC,37909,631.81666666666672,26.325694444444448,3.7608134920634924,0.87752314814814825
AAVE|BUSD|ETH,2020-11-08 17:07:00.000000 UTC,2020-11-10 14:39:00.000000 UTC,2732,45.533333333333331,1.8972222222222221,0.271031746031746,0.063240740740740736
AAVE|ETH|USDT,2020-10-17 00:51:00.000000 UTC,2020-11-10 14:39:00.000000 UTC,35388,589.8,24.575,3.5107142857142857,0.8191666666666666
ADA|AUD|BTC,2021-03-08 03:23:00.000000 UTC,2021-08-13 06:32:00.000000 UTC,227709,3795.15,158.13125,22.59017857142857,5.2710416666666662
ADA|AUD|BUSD,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:32:00.000000 UTC,1,0.016666666666666666,0.00069444444444444447,9.92063492063492e-05,2.314814814814815e-05
ADA|AUD|USDT,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:32:00.000000 UTC,1,0.016666666666666666,0.00069444444444444447,9.92063492063492e-05,2.314814814814815e-05
ADA|BNB|BRL,2021-08-13 06:32:00.000000 UTC,2021-08-13 06:32:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BNB|BTC,2018-04-17 07:13:00.000000 UTC,2019-06-21 16:09:00.000000 UTC,619736,10328.933333333332,430.37222222222221,61.481746031746027,14.345740740740741
ADA|BNB|BUSD,2020-02-25 14:38:00.000000 UTC,2020-03-12 10:50:00.000000 UTC,22812,380.2,15.841666666666667,2.263095238095238,0.52805555555555561
ADA|BNB|ETH,2018-04-22 20:38:00.000000 UTC,2020-03-13 23:47:00.000000 UTC,995229,16587.15,691.13125,98.73303571428572,23.037708333333335
ADA|BNB|TRY,2021-05-19 23:33:00.000000 UTC,2021-05-19 23:33:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BNB|TUSD,2019-05-16 00:26:00.000000 UTC,2022-05-12 09:54:00.000000 UTC,1573048,26217.466666666667,1092.3944444444444,156.05634920634921,36.413148148148146
ADA|BNB|USDC,2019-04-25 23:26:00.000000 UTC,2021-04-13 08:50:00.000000 UTC,1034484,17241.4,718.39166666666677,102.62738095238096,23.946388888888894
ADA|BNB|USDT,2018-04-17 07:13:00.000000 UTC,2019-07-08 02:52:00.000000 UTC,643419,10723.65,446.81874999999997,63.83125,14.893958333333332
ADA|BRL|BTC,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BRL|BUSD,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BRL|ETH,2021-08-13 06:32:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,1,0.016666666666666666,0.00069444444444444447,9.92063492063492e-05,2.314814814814815e-05
ADA|BRL|USDT,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BTC|ETH,2017-11-30 12:42:00.000000 UTC,2018-01-07 06:37:00.000000 UTC,54355,905.91666666666663,37.746527777777779,5.3923611111111116,1.2582175925925927
ADA|BTC|EUR,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:31:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BTC|GBP,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BTC|TRY,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:32:00.000000 UTC,1,0.016666666666666666,0.00069444444444444447,9.92063492063492e-05,2.314814814814815e-05
ADA|BTC|TUSD,2019-05-10 04:12:00.000000 UTC,2022-05-12 07:21:00.000000 UTC,1581309,26355.15,1098.1312500000001,156.87589285714287,36.604375000000005
ADA|BTC|USDC,2019-03-27 12:47:00.000000 UTC,2021-01-22 18:47:00.000000 UTC,960840,16014.0,667.25,95.321428571428569,22.241666666666667
ADA|BUSD|ETH,2020-02-26 16:28:00.000000 UTC,2020-02-26 16:28:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BUSD|EUR,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:31:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BUSD|GBP,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BUSD|TRY,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|BUSD|USDC,2021-02-23 05:09:00.000000 UTC,2021-02-23 05:09:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|BUSD|USDT,2020-02-26 16:28:00.000000 UTC,2020-02-26 16:28:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|ETH|GBP,2021-08-13 06:32:00.000000 UTC,2022-06-21 00:17:00.000000 UTC,448905,7481.75,311.73958333333331,44.53422619047619,10.391319444444443
ADA|ETH|TUSD,2019-04-08 05:11:00.000000 UTC,2022-07-28 12:33:00.000000 UTC,1738522,28975.366666666665,1207.3069444444443,172.47242063492061,40.24356481481481
ADA|ETH|USDC,2019-04-02 04:47:00.000000 UTC,2021-01-07 11:31:00.000000 UTC,930644,15510.733333333334,646.28055555555557,92.325793650793656,21.542685185185185
ADA|EUR|USDT,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:31:00.000000 UTC,0,0.0,0.0,0.0,0.0
ADA|GBP|USDT,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|TRY|USDT,2021-08-13 06:31:00.000000 UTC,2021-08-13 06:33:00.000000 UTC,2,0.033333333333333333,0.0013888888888888889,0.00019841269841269841,4.62962962962963e-05
ADA|TUSD|USDT,2019-05-10 04:12:00.000000 UTC,2022-09-20 13:34:00.000000 UTC,1770322,29505.366666666665,1229.3902777777778,175.62718253968254,40.979675925925925
ADA|USDC|USDT,2019-04-02 04:47:00.000000 UTC,2021-01-22 18:47:00.000000 UTC,952680,15878.0,661.58333333333337,94.511904761904773,22.052777777777781
ADX|BTC|ETH,2017-11-29 20:33:00.000000 UTC,2022-11-12 08:10:00.000000 UTC,2604217,43403.616666666669,1808.4840277777778,258.35486111111112,60.282800925925926
AE|BTC|ETH,2018-02-07 12:40:00.000000 UTC,2020-11-12 01:45:00.000000 UTC,1452305,24205.083333333332,1008.5451388888888,144.07787698412696,33.618171296296296
AION|BNB|BTC,2017-12-21 09:30:00.000000 UTC,2020-11-30 13:46:00.000000 UTC,1548256,25804.266666666666,1075.1777777777777,153.59682539682538,35.839259259259258
AION|BNB|ETH,2017-12-21 09:06:00.000000 UTC,2020-11-25 20:03:00.000000 UTC,1541457,25690.95,1070.45625,152.92232142857142,35.681875
AION|BNB|USDT,2020-02-20 00:37:00.000000 UTC,2020-12-15 09:17:00.000000 UTC,431080,7184.666666666667,299.36111111111114,42.765873015873019,9.9787037037037045
AION|BTC|ETH,2017-12-21 08:58:00.000000 UTC,2022-07-03 15:52:00.000000 UTC,2383614,39726.9,1655.2875000000001,236.46964285714287,55.17625
AION|BTC|USDT,2020-02-19 11:11:00.000000 UTC,2022-11-16 12:58:00.000000 UTC,1441547,24025.783333333333,1001.0743055555555,143.01061507936507,33.36914351851852
AION|ETH|USDT,2020-02-21 07:08:00.000000 UTC,2022-06-30 11:11:00.000000 UTC,1238643,20644.05,860.16874999999993,122.88125,28.672291666666663
ALGO|BNB|BTC,2019-09-10 11:00:00.000000 UTC,2021-04-25 01:32:00.000000 UTC,853352,14222.533333333333,592.6055555555555,84.6579365079365,19.753518518518515
ALGO|BNB|BUSD,2020-03-12 10:48:00.000000 UTC,2021-04-24 09:47:00.000000 UTC,587459,9790.9833333333336,407.95763888888888,58.2796626984127,13.598587962962963
ALGO|BNB|USDT,2019-09-29 19:02:00.000000 UTC,2021-04-24 06:05:00.000000 UTC,824343,13739.05,572.46041666666667,81.780059523809527,19.082013888888888
ALGO|BTC|BUSD,2020-02-29 03:57:00.000000 UTC,2020-03-31 22:28:00.000000 UTC,45751,762.51666666666665,31.771527777777777,4.5387896825396821,1.059050925925926
ALGO|BTC|USDT,2019-08-31 21:55:00.000000 UTC,2019-10-17 04:05:00.000000 UTC,66610,1110.1666666666667,46.25694444444445,6.6081349206349218,1.5418981481481484
ALGO|BUSD|USDT,2020-03-02 08:30:00.000000 UTC,2020-03-31 22:28:00.000000 UTC,42598,709.9666666666667,29.581944444444446,4.2259920634920638,0.98606481481481489
ALICE|BTC|BUSD,2021-03-22 09:37:00.000000 UTC,2021-03-23 02:02:00.000000 UTC,985,16.416666666666668,0.68402777777777779,0.097718253968253968,0.022800925925925926
ALICE|BUSD|USDT,2021-03-23 02:02:00.000000 UTC,2022-05-28 17:49:00.000000 UTC,621587,10359.783333333333,431.65763888888887,61.665376984126979,14.388587962962962
ALPHA|BTC|BUSD,2020-10-11 13:15:00.000000 UTC,2021-06-13 03:27:00.000000 UTC,352212,5870.2,244.59166666666667,34.94166666666667,8.1530555555555555
ALPHA|BTC|USDT,2020-10-12 17:10:00.000000 UTC,2022-05-28 16:41:00.000000 UTC,853891,14231.516666666666,592.97986111111106,84.711408730158723,19.765995370370369
ALPHA|BUSD|USDT,2020-10-11 13:15:00.000000 UTC,2021-06-25 22:09:00.000000 UTC,370614,6176.9,257.37083333333334,36.7672619047619,8.5790277777777781
AMB|BTC|ETH,2017-11-10 16:21:00.000000 UTC,2020-05-07 10:25:00.000000 UTC,1308604,21810.066666666666,908.75277777777774,129.8218253968254,30.291759259259258
ANKR|BNB|BTC,2019-07-23 23:33:00.000000 UTC,2022-07-21 02:49:00.000000 UTC,1574116,26235.266666666666,1093.1361111111112,156.16230158730158,36.437870370370369
ANKR|BNB|USDT,2019-07-23 16:20:00.000000 UTC,2022-11-11 14:42:00.000000 UTC,1737982,28966.366666666665,1206.9319444444443,172.41884920634919,40.231064814814808
ANKR|BTC|USDT,2019-07-23 16:20:00.000000 UTC,2022-11-15 13:45:00.000000 UTC,1743685,29061.416666666668,1210.8923611111111,172.984623015873,40.3630787037037
ANT|BTC|BUSD,2020-08-13 08:29:00.000000 UTC,2021-02-20 08:55:00.000000 UTC,275066,4584.4333333333334,191.01805555555555,27.288293650793651,6.3672685185185181
ANT|BTC|USDT,2020-08-13 23:40:00.000000 UTC,2020-09-05 19:37:00.000000 UTC,32877,547.95,22.83125,3.2616071428571431,0.76104166666666673
ANT|BUSD|USDT,2020-08-16 07:19:00.000000 UTC,2021-05-19 13:22:00.000000 UTC,397803,6630.05,276.25208333333336,39.464583333333337,9.20840277777778
ARDR|BTC|USDT,2020-05-15 08:10:00.000000 UTC,2021-12-05 09:52:00.000000 UTC,819462,13657.7,569.07083333333333,81.295833333333334,18.969027777777779
ARK|BTC|ETH,2017-11-02 04:18:00.000000 UTC,2020-05-08 09:47:00.000000 UTC,1322249,22037.483333333334,918.22847222222219,131.17549603174604,30.607615740740741
ARN|BTC|ETH,2017-11-15 02:49:00.000000 UTC,2020-07-20 09:06:00.000000 UTC,1408697,23478.283333333333,978.2618055555555,139.75168650793651,32.608726851851848
ARPA|BNB|BTC,2019-11-19 23:19:00.000000 UTC,2022-07-29 18:53:00.000000 UTC,1415254,23587.566666666666,982.81527777777774,140.40218253968254,32.760509259259258
ARPA|BNB|TRY,2021-10-16 18:22:00.000000 UTC,2022-07-08 16:27:00.000000 UTC,381485,6358.083333333333,264.92013888888886,37.845734126984119,8.8306712962962948
ARPA|BNB|USDT,2020-07-21 04:42:00.000000 UTC,2022-07-08 16:27:00.000000 UTC,1033185,17219.75,717.48958333333337,102.49851190476191,23.916319444444447
ARPA|BTC|TRY,2021-09-03 14:00:00.000000 UTC,2022-11-15 07:07:00.000000 UTC,630307,10505.116666666667,437.71319444444447,62.530456349206354,14.590439814814816
ARPA|BTC|USDT,2019-11-10 09:28:00.000000 UTC,2022-11-14 12:44:00.000000 UTC,1584196,26403.266666666666,1100.1361111111112,157.16230158730158,36.6712037037037
ARPA|TRY|USDT,2021-09-08 07:53:00.000000 UTC,2021-09-08 07:53:00.000000 UTC,0,0.0,0.0,0.0,0.0
AR|BTC|BUSD,2021-05-15 00:05:00.000000 UTC,2021-08-01 17:55:00.000000 UTC,113390,1889.8333333333333,78.743055555555557,11.249007936507937,2.6247685185185188
AR|BTC|USDT,2021-05-14 21:36:00.000000 UTC,2021-07-18 15:21:00.000000 UTC,93225,1553.75,64.739583333333329,9.2485119047619033,2.1579861111111112
AR|BUSD|USDT,2021-05-15 00:05:00.000000 UTC,2021-08-01 07:18:00.000000 UTC,112753,1879.2166666666667,78.300694444444446,11.185813492063492,2.6100231481481484
